video_name,answer,question,question_breakdown
v_0DFz3sgfda0,"The girls are making a salad in the kitchen with various ingredients like lettuce, tomatoes, and peanuts.",Can you describe the activity of the girls in the kitchen?,"1. Identify the setting: Look for the kitchen environment and its features.
2. Observe the participants: Focus on the girls present in the kitchen.
3. Analyze their actions: Note what activities the girls are engaged in (e.g., cooking, cleaning, talking).
4. Examine their interactions: Look for any communication or collaboration between the girls.
5. Consider the tools and ingredients: Identify any kitchen tools or food items they are using.
6. Assess the overall atmosphere: Determine the mood or energy of the activity (e.g., fun, serious, chaotic).
7. Summarize the key points: Compile the main observations into a coherent description of the activity."
v_1d_U_2HIPmY,The man is swinging a hammer attached to a grip by a cable while standing on a circular platform inside a cage.,What object does the man have in his hand?,"1. Identify the man in the image or video frame.
2. Focus on the area around the man's hand.
3. Observe the object that the man is holding.
4. Analyze the characteristics of the object (shape, color, size).
5. Determine the type of object based on its characteristics.
6. Confirm that the object is indeed in the man's hand and not elsewhere."
v_aOxRwTlkY80,The man added garlic to the pan with oil first and then added chillies. He cooked these two for a minute and later added the cooked pasta and chopped parsley. He added ground pepper and mixed everything before finishing the dish.,Which ingredients did the man add to the pan first?,"1. Identify the scene where the man is cooking.
2. Locate the pan that the man is using.
3. Observe the sequence of actions performed by the man.
4. Focus on the moment when the man adds ingredients to the pan.
5. Note the first ingredient that the man adds to the pan.
6. Confirm that this ingredient is the first one added before any others."
v_MbjyQGdTtK8,"The woman is demonstrating how to make furniture polish by mixing olive oil and lemon juice in a spray bottle, shaking it, and then applying it to the surface of a table.",Can you describe the steps of making the furniture polish in the video?,"1. Identify the ingredients used in the furniture polish from the video.
2. List the tools or equipment needed for making the furniture polish.
3. Describe the preparation steps for each ingredient (e.g., measuring, mixing).
4. Outline the process of combining the ingredients to create the polish.
5. Explain any specific techniques or methods shown in the video for applying the polish.
6. Note any safety precautions mentioned in the video during the preparation or application.
7. Summarize any tips or additional information provided in the video for best results."
v_4XnXyKYxnQQ,The ship is dangerously tilted left and appears to be about to capsize in the daytime sea. ,Can you describe the position of the ship in the video?,"1. Identify the video containing the ship.
2. Observe the overall scene in the video to understand the context.
3. Locate the ship within the frame of the video.
4. Determine the orientation of the ship (e.g., facing direction, angle).
5. Note the distance of the ship from any visible landmarks or the shore.
6. Assess the position of the ship relative to other objects or elements in the video (e.g., other ships, buoys, land).
7. Describe any movement of the ship (e.g., stationary, moving forward, turning).
8. Summarize the position of the ship using the observations made in the previous steps."
v_5qY9yPt-5Go,"The video starts with a black French bulldog standing on a checkered red tablecloth with a cup of coffee placed in front of it. The dog goes to the cup and starts to drink the coffee, while the boy attempts to move the dog away from the cup gently.",What is happening in the beginning of the video?,"1. Identify the video being referenced.
2. Locate the beginning segment of the video.
3. Observe the visual elements present at the start of the video.
4. Note any characters, objects, or settings introduced in the beginning.
5. Analyze the actions or events occurring in the initial scenes.
6. Pay attention to any dialogue or sounds that accompany the visuals.
7. Summarize the key points or themes presented in the beginning of the video."
v_qU4GmCN2e1Y,The man performing on the parallel bars is wearing a dark blue vest and pants.,What is the man wearing who is performing on the parallel bars?,"1. Identify the scene where the man is performing on the parallel bars.
2. Locate the man within the scene.
3. Observe the clothing items the man is wearing.
4. Describe each clothing item in detail (e.g., color, type, style).
5. Note any additional accessories or gear the man may have on.
6. Compile the observations into a coherent description of the man's attire."
v_Jdu5AqaWfz8,"The bungee jump platform is yellow and the inflatable boat is located to the left near the shore. Three men, with two attendants in green shirts and one jumper wearing a t-shirt and a strap, are standing on the platform during the day. One of the attendants is belaying the bungee cord. After jumping off the platform and being pulled back up, the man is slowly reeled down and drawn to the shore by two attendants.",Can you describe the scene where the men are standing at the edge of the platform?,"1. Identify the setting of the scene (e.g., location, time of day, weather conditions).
2. Describe the platform's characteristics (e.g., size, material, height, surroundings).
3. Determine the number of men present in the scene.
4. Describe the physical appearance of the men (e.g., clothing, posture, expressions).
5. Analyze the positioning of the men at the edge of the platform (e.g., how they are standing, their proximity to the edge).
6. Consider any actions or interactions among the men (e.g., talking, looking out, gesturing).
7. Capture the overall mood or atmosphere of the scene (e.g., tense, relaxed, contemplative).
8. Note any additional elements in the scene that contribute to the context (e.g., background details, objects, other people)."
v_u3XOLSC7lg0,"The man is wearing a black T-shirt, black pants, and black and white sneakers.",What is the man wearing while breakdancing in the hallway?,"1. Identify the subject in the scene: Locate the man who is breakdancing in the hallway.
2. Observe the action: Focus on the man's movements and position while breakdancing.
3. Analyze the clothing: Examine the man's attire, including any specific garments, colors, and styles.
4. Note any accessories: Look for additional items such as hats, shoes, or jewelry that the man may be wearing.
5. Summarize the findings: Compile a description of the man's outfit based on the observations made."
v_vAHR3iJhBXU,The woman applied pink nail polish to her ring finger.,Which nail did the woman apply pink polish to in the video?,"1. Identify the woman in the video.
2. Observe the woman's hands and nails throughout the video.
3. Look for any instances where the woman is applying nail polish.
4. Focus on the color of the nail polish being applied.
5. Determine which nail is being painted with pink polish.
6. Confirm the specific nail (e.g., thumb, index, middle, ring, or pinky) that received the pink polish."
v_9VflCeoPr9I,The people are playing and kicking a red ball in the field.,What activity are the people engaged in the video?,"1. Identify the main subjects in the video (the people).
2. Observe the context and setting of the video (location, environment).
3. Analyze the actions and movements of the people in the video.
4. Look for any objects or tools that the people may be using.
5. Listen for any audio cues or dialogue that may indicate the activity.
6. Consider the interactions between the people and their surroundings.
7. Summarize the observed actions and context to determine the activity they are engaged in."
v_Sf27WmcLb2w,A man wearing a black sleeveless t-shirt and red shorts starts the exchange on the volleyball court by serving the ball.,Who starts the exchange on the volleyball court by serving the ball?,
v_7pfHxav4b0U,The woman is rowing an orange kayak down a rapid river while wearing a life vest and white helmet.,Can you describe what the woman is wearing and what she is doing in the river?,"1. Identify the woman in the image or video.
2. Observe and describe the clothing she is wearing, including colors, styles, and any accessories.
3. Determine the activity she is engaged in while in the river.
4. Note any additional details about her actions, such as movement or interaction with the water.
5. Summarize the observations about her attire and actions in a coherent description."
v_4QRRxub6L5Q,The video shows a girl performing multiple backflips on a foam platform indoors while another girl watches. There is a poster of a cartoon sloth on the far wall. The video ends with the girl doing backflips and landing.,What is happening in the video with the girls and the foam platform?,
v_qqZLs6j3YII,The children on the stage are wearing red and white uniforms.,Can you describe the uniforms of the children playing guitars on the stage?,"1. Identify the setting: Look for a stage where children are playing guitars.
2. Locate the children: Focus on the group of children performing on the stage.
3. Observe the uniforms: Examine the clothing worn by each child.
4. Note the colors: Record the colors of the uniforms.
5. Describe the style: Analyze the style of the uniforms (e.g., casual, formal, themed).
6. Look for patterns or logos: Check for any patterns, designs, or logos on the uniforms.
7. Consider accessories: Identify any additional items (e.g., hats, shoes, or instruments) that complement the uniforms.
8. Summarize the overall appearance: Combine the observations to provide a cohesive description of the uniforms."
v_kfO5PGlsMJw,The first boy is wearing a black karate uniform with a black belt.,What color is the karate uniform of the first boy who performs on the stage?,
v_htzAYwoAZkg,"The man is wearing a black polo shirt, speaking to the camera in the gym, while the woman is standing next to him; they are both behind a resistance trainer in the well-lit gym. The woman climbs onto the resistance trainer, starts pedaling, and adjusts the instrument cluster settings, while the man continues speaking into the camera.",What is the man wearing and doing in the gym?,"1. Identify the man in the gym setting.
2. Observe the clothing he is wearing.
   - Note the type of clothing (e.g., shirt, shorts, shoes).
   - Identify the colors and patterns of the clothing.
3. Determine the activity he is engaged in.
   - Observe his body posture and movements.
   - Identify any equipment he may be using (e.g., weights, machines).
   - Note any specific exercises or actions he is performing.
4. Summarize the findings regarding what the man is wearing and what he is doing."
v_HURRgbZGz8Q,"The video shows a spear-throw competition where athletes holding spears run and throw them in an outdoor stadium filled with spectators. The landing area has numbered lanes, and a man in a suit is seen near the number 70 marker. The scoreboard with names and throw distances is shown towards the end.",Can you describe the spear-throw competition being held in the outdoor stadium?,"1. Identify the setting of the competition: outdoor stadium.
2. Describe the overall atmosphere of the stadium (e.g., crowd size, excitement level).
3. Detail the layout of the stadium relevant to the competition (e.g., throwing area, audience seating).
4. Explain the rules and format of the spear-throw competition.
5. Describe the participants: their attire, equipment, and any notable characteristics.
6. Illustrate the action of the competition: how the spear is thrown, techniques used by competitors.
7. Capture any additional elements: judges, scoring system, and any commentary or announcements.
8. Convey the audience's reactions and engagement during the competition."
v_TEgPIueNqTI,The woman is wearing a white top while she gets tattooed in the tattoo parlor.,What is the woman wearing while getting tattooed in the tattoo parlor?,"1. Identify the scene setting: Look for the tattoo parlor environment.
2. Locate the woman in the scene: Focus on the individual who is getting tattooed.
3. Observe the woman's clothing: Examine what she is wearing, including any specific items like tops, bottoms, or accessories.
4. Note any additional details: Look for patterns, colors, or styles of the clothing that may be significant.
5. Consider the context: Take into account the overall atmosphere of the tattoo parlor and how it may relate to the woman's attire."
v_IL8__uSFpqg,The man in the video is wearing a blue polo shirt.,What is the man wearing in the video?,"1. Identify the video being referenced.
2. Locate the man within the video.
3. Observe the man's clothing.
4. Describe the specific items of clothing the man is wearing (e.g., shirt, pants, shoes).
5. Note any additional accessories or details (e.g., hats, jewelry).
6. Summarize the overall appearance of the man's outfit."
v_TEgPIueNqTI,The woman is wearing a white top while she gets tattooed in the tattoo parlor.,Can you describe the appearance of the woman as she gets a tattoo in the parlor?,"1. Identify the setting: Observe the tattoo parlor environment, including decor, lighting, and overall atmosphere.
2. Focus on the woman: Look for details about her physical appearance, such as hair color, hairstyle, skin tone, and any visible tattoos or piercings.
3. Analyze her clothing: Note what she is wearing, including colors, styles, and any accessories.
4. Observe her expressions: Capture her facial expressions and body language as she prepares to get the tattoo.
5. Examine the tattoo process: Look at the specific moment when the tattoo artist begins the tattoo, including the tools used and the woman's reaction.
6. Consider the interaction: Observe the dynamics between the woman and the tattoo artist, including any conversation or gestures.
7. Summarize the overall scene: Combine all observations to create a cohesive description of the woman's appearance and demeanor during the tattooing process."
v_Ie09KEAPP2I,The labrador retriever in the video is brown.,Can you describe the appearance of the labrador retriever in the video?,"1. Identify the subject of the video: Look for the labrador retriever.
2. Observe the overall size and build of the labrador retriever: Note if it appears large, medium, or small.
3. Examine the coat color: Determine if the labrador retriever is black, yellow, chocolate, or another color.
4. Analyze the coat texture: Look for characteristics such as short, dense, or wavy fur.
5. Observe the facial features: Note the shape of the head, eyes, ears, and muzzle.
6. Look for any distinctive markings or features: Check for spots, patches, or unique characteristics.
7. Assess the posture and movement: Observe how the labrador retriever stands, sits, or moves in the video.
8. Take note of any accessories or clothing: Identify if the labrador retriever is wearing a collar, harness, or any other items.
9. Summarize the overall appearance: Combine all observations to provide a comprehensive description of the labrador retriever."
v_Omvg9UtGOes,The cloth used to wrap the box is pink on the inside and green on the outside.,What colors are on the cloth used to wrap the box?,"1. Identify the box in the visual content.
2. Locate the cloth that is used to wrap the box.
3. Observe the colors present on the cloth.
4. List the distinct colors found on the cloth."
v_MWQ9mb_mB8U,The women on the volleyball court are wearing white tops with numbers on them.,Can you describe the clothing worn by the women standing on the volleyball court?,"1. Identify the scene: Locate the volleyball court in the visual input.
2. Identify the subjects: Find the women present in the scene.
3. Observe the clothing: Focus on the clothing worn by each woman.
4. Note the details: Pay attention to colors, styles, patterns, and any accessories.
5. Compare and contrast: If there are multiple women, compare their clothing to highlight differences and similarities.
6. Summarize the findings: Create a cohesive description of the clothing worn by the women."
v_BmLDHLKiIdQ,The video shows an indoor archery competition with spectators seated in the stands.,Where are the archers shooting arrows in the video?,
v_eoSwoeLmeyQ,The lights shining on the dance floor are not described in the given details.,What is the color of the illumination on the portion of the floor where people are dancing?,"1. Identify the area of the floor where people are dancing.
2. Observe the lighting conditions in that specific area.
3. Determine the color of the illumination present on the dancing portion of the floor.
4. Note any variations in color due to shadows or reflections.
5. Summarize the observed color of the illumination."
v_N4qhryre_TE,The athletes are participating in an indoor tumbling competition.,Can you describe the event the athletes are participating in?,"1. Identify the athletes in the visual content.
2. Determine the setting or location of the event.
3. Observe the type of activity or sport being performed by the athletes.
4. Note any specific equipment or attire used by the athletes.
5. Look for any audience or spectators present at the event.
6. Identify any signs, banners, or symbols that indicate the nature of the event.
7. Analyze the overall atmosphere or mood of the event (e.g., competitive, celebratory).
8. Summarize the key elements that define the event the athletes are participating in."
v_KlgrI3Ngwv0,"At the beginning of the video, the athlete is standing by a pommel horse, wearing a blue outfit, and getting ready to start an artistic gymnastics routine.",Can you describe the beginning of the athlete’s routine in the video?,"1. Identify the athlete in the video.
2. Observe the setting or environment where the routine begins.
3. Note the time of day or any relevant context that indicates the start of the routine.
4. Describe the initial actions or movements the athlete performs.
5. Look for any equipment or gear the athlete uses at the beginning of the routine.
6. Pay attention to the athlete's demeanor or attitude as they start their routine.
7. Summarize the sequence of events that occur in the beginning of the routine."
v_ZxPF3s_OLDo,The man is wearing a red t-shirt and a belt with a chalk pouch on it.,Could you describe the man's outfit when he is climbing?,"1. Identify the man in the climbing scene.
2. Observe the overall outfit of the man.
3. Note the type of clothing he is wearing (e.g., shirt, pants, jacket).
4. Examine the material and color of each clothing item.
5. Look for any additional layers or accessories (e.g., gloves, hats).
6. Check for climbing gear (e.g., harness, climbing shoes, helmet).
7. Assess the fit and style of the outfit (e.g., loose, tight, casual, technical).
8. Consider any visible logos or brands on the clothing or gear.
9. Summarize the key elements of the man's outfit in a descriptive manner."
v_N4qhryre_TE,The athletes are participating in an indoor tumbling competition.,What kind of competition is taking place in the video?,
v_jQzBXawu29s,The man is wearing a brown sweater and glasses while playing the black wooden Irish flute in a living room with a television stand behind him and various framed items hung on the wall. Sunlight is coming in from the left side at the back.,What is the man wearing while playing the black wooden Irish flute in the living room?,"1. Identify the man in the scene.
2. Observe the man's clothing and accessories.
3. Determine the specific items he is wearing (e.g., shirt, pants, shoes).
4. Note any additional details about his attire (e.g., color, style, patterns).
5. Locate the black wooden Irish flute in the man's hands.
6. Confirm the setting is the living room.
7. Describe the overall appearance of the man while he is playing the flute."
v_Hz7-mBFGsSs,The girl is getting her hair cut in the salon while crying.,What is happening to the girl in the salon?,"1. Identify the girl in the salon setting.
2. Observe the actions or activities occurring around the girl.
3. Note any interactions between the girl and other individuals in the salon.
4. Look for any changes in the girl's appearance or demeanor.
5. Pay attention to the environment and context of the salon (e.g., equipment, products, ambiance).
6. Analyze any emotional expressions or reactions from the girl.
7. Summarize the overall situation involving the girl in the salon."
v_kl-2y3jtPNE,The game being played in the field is cricket.,What game is being played in the field?,
v_sk_pnoqXxhs,"The video shows a toddler in a diaper brushing his teeth with the help of a woman in a white shirt, while a man in a black T-shirt films. There is also a brown dog in the bathroom.",What is happening in the video?,"1. Identify the main subject or subjects in the video.
2. Observe the setting or environment where the action is taking place.
3. Note any significant actions or events occurring in the video.
4. Look for interactions between subjects, if applicable.
5. Pay attention to any dialogue or sounds that provide context.
6. Analyze the emotions or expressions of the subjects involved.
7. Consider the overall mood or tone of the video.
8. Summarize the key elements that contribute to the narrative or message of the video."
v_OkvWTZ4XLyM,The man is spinning the discus to build momentum before releasing it towards the landing area.,Can you describe what is happening in the video with the discus?,"1. Identify the main subject of the video, which is the discus.
2. Observe the setting where the discus activity is taking place (e.g., a sports field, stadium).
3. Analyze the actions being performed with the discus (e.g., throwing technique, preparation).
4. Note the participants involved in the video (e.g., athletes, coaches).
5. Look for any specific techniques or skills demonstrated in the discus throw.
6. Observe the reactions of the audience or other participants during the event.
7. Identify any equipment or attire relevant to the discus activity.
8. Summarize the overall atmosphere and mood of the video (e.g., competitive, training).
9. Highlight any notable moments or key events that occur during the video."
v_51faGoLPJgM,The boy is chopping wood next to a pile of chopped logs while wearing blue jeans and a sweater.,What is the boy doing in the beginning of the video?,"1. Identify the subject of the video: Look for the boy in the beginning scenes.
2. Observe the actions of the boy: Focus on what the boy is doing in the initial moments of the video.
3. Note the context: Consider the environment and any objects or other characters present that may influence the boy's actions.
4. Describe the boy's actions: Summarize what the boy is doing in a clear and concise manner.
5. Capture any relevant emotions or expressions: Look for facial expressions or body language that convey the boy's feelings while performing the action."
v__B7rGFDRIww,"The woman is dancing to the song ""Let it Go"" from the movie ""Frozen"" and this song continues to play throughout the video while the dancers dance to it.",What song is the woman dancing to in the beginning of the video?,"1. Identify the video being referenced in the question.
2. Locate the beginning segment of the video.
3. Observe the woman dancing in that segment.
4. Listen for any audio or music playing during the woman's dance.
5. Analyze the music to determine its title or identify any lyrics.
6. Cross-reference the identified music with known songs to confirm the title."
v_8r4bF9RF0Kc,The people in the video are playing a game of cricket at the beginning.,Can you describe the opening scene of the video?,"1. Identify the video being referenced.
2. Analyze the opening scene of the video.
3. Describe the visual elements present in the opening scene (e.g., characters, setting, colors).
4. Note any significant actions or events occurring in the opening scene.
5. Highlight any dialogue or sounds that are part of the opening scene.
6. Summarize the overall mood or tone established in the opening scene.
7. Conclude with any relevant context that may enhance the understanding of the opening scene."
v_KApqxr02rcQ,Jessica Skillings wears a dark blue uniform in the video.,Which player is the video following and what color jersey is she wearing?,"1. Identify the main subject of the video.
2. Determine the gender of the player being followed in the video.
3. Locate the player in the video footage.
4. Observe the jersey worn by the identified player.
5. Note the color of the jersey.
6. Compile the findings to identify the player and the color of her jersey."
v_MWQ9mb_mB8U,The women on the volleyball court are wearing white tops with numbers on them.,What is the color of the tops that the women on the volleyball court are wearing?,
v_YOk1cMsyk88,"The skateboarder is wearing a white t-shirt, a red cap, and a backpack.",Could you describe the skateboarder's outfit in the video?,"1. Identify the skateboarder in the video.
2. Observe the skateboarder's overall appearance.
3. Note the type of clothing the skateboarder is wearing (e.g., shirt, pants, jacket).
4. Describe the colors and patterns of the clothing items.
5. Identify any accessories the skateboarder is wearing (e.g., hats, wristbands, shoes).
6. Observe the skateboarder's footwear and describe the style and color.
7. Look for any protective gear the skateboarder may be wearing (e.g., helmet, knee pads).
8. Summarize the skateboarder's outfit by combining all observed details."
v_HURRgbZGz8Q,"The video shows a spear-throw competition where athletes holding spears run and throw them in an outdoor stadium filled with spectators. The landing area has numbered lanes, and a man in a suit is seen near the number 70 marker. The scoreboard with names and throw distances is shown towards the end.",What is happening in the outdoor stadium in the video?,"1. Identify the outdoor stadium setting in the video.
2. Observe the overall atmosphere and environment of the stadium (e.g., time of day, weather conditions).
3. Look for any events or activities taking place in the stadium (e.g., sports games, concerts, ceremonies).
4. Note the presence of people in the stadium, including the number of spectators and their behavior.
5. Analyze any specific actions or interactions occurring among individuals or groups in the stadium.
6. Pay attention to any visual elements that stand out, such as banners, equipment, or props.
7. Consider the sounds or music that may be present in the video and how they contribute to the scene.
8. Summarize the key observations to provide a comprehensive understanding of what is happening in the outdoor stadium."
v_ijrjRNwZjqQ,Kevin Spacey and Rafael Nadal play ping pong on stage.,Can you describe the game that Kevin Spacey and Rafael Nadal play on stage?,"1. Identify the individuals mentioned in the question: Kevin Spacey and Rafael Nadal.
2. Determine the context of the game: clarify that it takes place on stage.
3. Research the specific game they are playing together.
4. Gather details about the nature of the game: rules, objectives, and format.
5. Note any unique elements or features of the game that are relevant to the performance.
6. Consider the setting and audience reaction during the game.
7. Compile the information into a coherent description of the game."
v_cH3H-arDsH4,The video shows a game of water polo being played in a swimming pool with two teams trying to score goals.,Can you describe the game being played in the video?,"1. Identify the video content and context.
2. Observe the visual elements in the video, including characters, settings, and objects.
3. Analyze the actions taking place in the video to determine gameplay mechanics.
4. Note any text or graphics that may provide information about the game (e.g., titles, instructions).
5. Identify the genre of the game (e.g., action, strategy, puzzle).
6. Determine the objectives or goals of the game as depicted in the video.
7. Observe any interactions between characters or players.
8. Summarize the overall theme or narrative presented in the video.
9. Compile the observations into a coherent description of the game being played."
v_0x6ZV9Y8g_c,"In the beginning of the video, the toddler is seen wearing blue and red pajamas.",Can you describe the toddler's pajamas in the opening scene?,"1. Identify the opening scene of the video.
2. Focus on the toddler character within the scene.
3. Observe the pajamas worn by the toddler.
4. Note the color of the pajamas.
5. Describe any patterns or designs present on the pajamas.
6. Identify the style of the pajamas (e.g., long-sleeve, short-sleeve, footed, etc.).
7. Look for any additional features (e.g., buttons, zippers, hoods).
8. Consider the overall condition and fit of the pajamas.
9. Summarize the observations into a coherent description."
v_CTyvQHkAKuY,The woman starts to sing while the man is playing the piano.,What is the woman doing when the man is playing the piano?,"1. Identify the scene where the man is playing the piano.
2. Observe the woman in the same scene.
3. Analyze the woman's body language and facial expressions.
4. Look for any actions the woman is performing (e.g., sitting, standing, dancing).
5. Note the context of the woman's actions in relation to the man's piano playing.
6. Determine if there are any interactions between the woman and the man while he plays.
7. Summarize the woman's activities during the man's piano performance."
v_bphckj0BV5U,The woman is wearing a grey top and is sitting on the ground in the woods while demonstrating how to start a fire.,Can you describe the woman in the video?,"1. Identify the video being referenced.
2. Observe the woman in the video.
3. Note her physical appearance (e.g., hair color, hairstyle, clothing, age).
4. Analyze her facial expressions and body language.
5. Consider her actions and behavior in the video.
6. Take note of the context in which she appears (e.g., setting, interactions with others).
7. Summarize the overall impression of the woman based on the observations."
v_dRF1C_sBE5M,The man taught the girl how to chop wood using an axe.,What was the girl shown doing with the axe in the video?,
v_9UvVeUYQLgA,"Cable drums, old tires, weeds, and cinderblocks are used as cover in the paintball arena.",Can you describe some of the objects used for cover in the paintball arena?,"1. Identify the setting: Paintball arena.
2. Look for various types of objects commonly found in a paintball arena.
3. Categorize the objects based on their function (e.g., cover, barriers, obstacles).
4. Observe the materials used for these objects (e.g., inflatable, wooden, metal).
5. Note the shapes and sizes of the objects.
6. Consider the arrangement of the objects within the arena.
7. Highlight any specific features that enhance their use as cover (e.g., height, width, stability).
8. Compile a list of the identified objects with descriptions of each."
v_zRqJZ0u6f88,The man is wearing a red shirt and trousers along with a tool belt.,Can you describe the man's outfit?,"1. Identify the man in the image or video.
2. Observe the overall outfit the man is wearing.
3. Break down the outfit into individual components (e.g., shirt, pants, shoes, accessories).
4. Describe the color of each component.
5. Note the style of each component (e.g., casual, formal, sporty).
6. Look for any patterns or designs on the clothing.
7. Identify any accessories (e.g., hats, belts, jewelry) and describe them.
8. Consider the fit of the clothing (e.g., loose, tight, tailored).
9. Assess the overall impression of the outfit (e.g., cohesive, mismatched).
10. Summarize the description of the man's outfit based on the observations."
v_rpjxjU-mLiw,The man is wearing a teal T-shirt and black shorts and is starting his discus throw in a throwing circle surrounded by a practice net. He then walks towards the camera and claps his hands. A person in a yellow shirt can be seen jogging on the track behind the practice net.,What is the man wearing and what is he doing?,"1. Identify the man in the image or video frame.
2. Analyze the clothing items the man is wearing.
   - Look for details such as color, type of clothing (e.g., shirt, pants, shoes), and any accessories (e.g., hat, glasses).
3. Observe the man's actions or activities.
   - Determine what he is doing (e.g., walking, sitting, talking, working).
4. Summarize the findings about the man's attire and actions."
v_zoWqv-sIdBY,"The boy's name is Ivan and he is sitting in a well-lit bedroom in front of a table with a computer on it. He is having his hair combed by Oscar, who is standing behind him.",Who is the boy with long hair in the video and where is he sitting?,"1. Identify the video being referenced.
2. Analyze the video to locate all boys present.
3. Focus on the boys with long hair.
4. Determine which boy has the longest hair.
5. Observe the seating arrangement in the video.
6. Identify the specific location where the boy with long hair is sitting.
7. Compile the findings to provide the name of the boy and his seating position."
v_-vnSFKJNB94,"The video shows a man named Michal Navratil performing various diving maneuvers including tucks, twists, forwards dives, etc. in an indoor swimming pool with people visible walking around. He ends the video by doing a forward tuck dive.",What is happening in the video?,"1. Identify the main subject or subjects in the video.
2. Observe the setting or environment where the action is taking place.
3. Note any significant actions or events occurring in the video.
4. Pay attention to the emotions or expressions of the subjects involved.
5. Look for any dialogue or text that may provide context or additional information.
6. Analyze the sequence of events to understand the flow of the video.
7. Consider any background elements or sounds that contribute to the overall scene.
8. Summarize the key points or themes that emerge from the observations."
v_-vnSFKJNB94,"The video shows a man named Michal Navratil performing various diving maneuvers including tucks, twists, forwards dives, etc. in an indoor swimming pool with people visible walking around. He ends the video by doing a forward tuck dive.",Can you describe the diving maneuvers performed in the video?,"1. Identify the video content related to diving maneuvers.
2. Observe the different types of diving maneuvers performed in the video.
3. Note the sequence of each maneuver as they are executed.
4. Analyze the techniques used in each maneuver (e.g., approach, takeoff, flight, entry).
5. Describe the physical movements and body positions involved in each maneuver.
6. Highlight any unique or notable aspects of the diving maneuvers.
7. Summarize the overall performance and execution of the diving maneuvers."
v_DIhyfNJAm-M,"The performer is wearing a black suit and white shirt, playing his saxophone on a stage with red floors, blue curtains and a staircase in front. The audience can be seen sitting a few feet from the staircase, while backing musicians play various instruments behind the saxophonist. A music stand with transparent top is placed next to the saxophonist, and the video ends with the audience applauding.",Can you describe the stage set up for the saxophonist performance?,"1. Identify the type of performance being described (saxophonist performance).
2. Determine the elements typically involved in a stage setup for a musical performance.
3. Visualize the stage layout, including the position of the saxophonist.
4. Consider the arrangement of musical instruments, microphones, and amplifiers.
5. Include any additional elements such as lighting, backdrops, and audience seating.
6. Note any specific props or decorations that may be relevant to the saxophonist's performance.
7. Describe the overall atmosphere or theme of the stage setup."
v_WCS8dzRT7Xk,The woman is wearing a grey shirt and standing behind an ironing board in a well-lit room with a wood wall behind her.,What is the woman wearing and where is she standing?,"1. Identify the woman in the image or scene.
2. Analyze the clothing items the woman is wearing.
   - Look for details such as color, style, and type of clothing (e.g., dress, shirt, pants).
3. Determine the location where the woman is standing.
   - Observe the background and surroundings to identify specific features or landmarks.
4. Describe the overall appearance of the woman based on her clothing.
5. Describe the setting or environment where the woman is located."
v__ja1fre9OTE,The gymnast is performing on a balance beam located on an elevated platform at a gymnastics competition.,What is the apparatus the gymnast performs on?,"1. Identify the subject of the question: gymnast.
2. Determine the context of the performance: gymnastics.
3. List the common apparatus used in gymnastics (e.g., balance beam, uneven bars, floor, vault, rings).
4. Analyze any visual cues or context provided in the image or video related to the gymnast's performance.
5. Match the identified apparatus with the gymnast's activity in the visual context.
6. Conclude with the specific apparatus the gymnast is performing on based on the analysis."
v_VhdidrZKuTU,The man sprinkles table salt and white pepper powder on the crumpled pieces of newspaper and firewood before lighting it.,Can you describe the items the man adds onto the firewood before lighting it?,"1. Identify the man in the scene.
2. Observe the firewood that is present.
3. Look for any items that the man adds onto the firewood.
4. Describe the appearance and characteristics of each item added (e.g., color, size, shape).
5. Note the order in which the items are added to the firewood.
6. Consider any additional context or actions the man takes while adding the items.
7. Summarize the items added and their potential purpose in relation to the firewood."
v_X4J9UBXb0FM,The video shows athletes participating in pole vaulting competitions during both day and night.,Can you describe what the athletes are competing in?,"1. Identify the context of the competition (e.g., sport, event type).
2. Observe the athletes' actions and movements to determine the nature of the competition.
3. Look for any equipment or gear used by the athletes that may indicate the specific sport or activity.
4. Note the environment or setting where the competition is taking place (e.g., stadium, field, court).
5. Analyze any visual cues such as scoreboards, audience reactions, or referees that may provide additional context.
6. Summarize the findings to describe the competition in detail."
v_YAKXrBinGD4,"The video shows a houseboat, a jet-ski, a motorboat, and several kayak boats under a shed.",Can you describe the various boats shown in the video?,"1. Identify the video content and locate the section where boats are shown.
2. Observe and categorize the different types of boats present in the video (e.g., sailboats, motorboats, fishing boats, etc.).
3. Note the characteristics of each type of boat, including size, color, design, and any unique features.
4. Pay attention to the context in which each boat is shown (e.g., on water, docked, in motion).
5. Take note of any additional details provided in the video, such as the purpose of each boat or any activities associated with them.
6. Summarize the observations into a coherent description of the various boats shown in the video."
v_ij9czNGMR5I,The woman getting her tongue pierced is wearing a grey hoodie.,Can you describe the attire of the woman getting her tongue pierced?,"1. Identify the woman in the scene who is getting her tongue pierced.
2. Observe and analyze the overall outfit she is wearing.
3. Note the specific clothing items (e.g., top, bottom, accessories) and their colors or patterns.
4. Examine any additional elements of her attire, such as jewelry, shoes, or bags.
5. Consider the style of her attire (e.g., casual, formal, edgy) and how it relates to the context of the tongue piercing.
6. Summarize the key features of her attire, including any notable details or unique aspects."
